ProcessorLoad,MemoryUsage,OutBandwidth,Latency,CLPVariation
0.098,0.571,0.797,0.91,0.762
0.351,0.17,0.244,0.832,0.765
0.022,0.508,0.447,0.364,0.762
0.985,0.894,0.306,0.511,-0.465
0.247,0.383,0.556,0.426,0.765
0.578,0.475,0.989,0.95,0.747
0.032,0.721,0.335,0.622,0.753
0.522,0.073,0.532,0.659,0.744
0.003,0.689,0.553,0.201,0.765
0.54,0.383,0.654,0.575,0.765
0.977,0.082,0.924,0.395,-0.765
0.196,0.542,0.014,0.058,0.765
0.889,0.891,0.609,0.02,-0.765
0.678,0.134,0.633,0.278,0.765
0.861,0.83,0.761,0.985,-0.762
0.525,0.924,0.48,0.283,-0.744
0.354,0.458,0.722,0.42,0.765
0.21,0.115,0.449,0.888,0.762
0.008,0.074,0.478,0.478,0.741
0.305,0.693,0.017,0.092,0.765
0.585,0.988,0.614,0.894,-0.761
0.052,0.281,0.271,0.4,0.755
0.818,0.025,0.445,0.59,-0.762
0.675,0.358,0.041,0.072,0.765
0.144,0.371,0.395,0.149,0.762
0.099,0.668,0.054,0.909,0.765
0.926,0.506,0.32,0.618,-0.491
0.296,0.881,0.038,0.794,-0.297
0.733,0.361,0.796,0.029,0.574
0.295,0.641,0.318,0.591,0.75
0.106,0.87,0.304,0.021,-0.489
0.543,0.481,0.303,0.957,0.745
0.735,0.255,0.913,0.578,0.505
0.58,0.747,0.286,0.102,0.021
0.758,0.103,0.816,0.563,0.29
0.313,0.576,0.306,0.595,0.749
0.681,0.605,0.754,0.499,0.21
0.81,0.77,0.085,0.013,-0.297
0.621,0.535,0.359,0.484,0.754
0.236,0.484,0.313,0.686,0.752
0.742,0.026,0.217,0.213,0.74
0.642,0.55,0.469,0.964,0.762
0.152,0.33,0.684,0.36,0.765
0.912,0.82,0.288,0.469,-0.464
0.408,0.022,0.742,0.526,0.765
0.178,0.188,0.604,0.616,0.758
0.555,0.581,0.11,0.398,0.756
0.398,0.533,0.293,0.349,0.75
0.385,0.876,0.936,0.283,-0.765
0.348,0.322,0.437,0.1,0.763
0.639,0.561,0.125,0.188,0.761
0.217,0.005,0.007,0.195,0.765
0.456,0.289,0.713,0.417,0.765
0.039,0.861,0.95,0.106,-0.765
0.455,0.059,0.667,0.034,0.765
0.558,0.505,0.452,0.324,0.741
0.032,0.187,0.597,0.661,0.745
0.107,0.668,0.766,0.672,0.749
0.478,0.479,0.723,0.835,0.746
0.653,0.815,0.392,0.211,-0.671
0.278,0.637,0.576,0.91,0.762
0.712,0.496,0.553,0.93,0.756
0.813,0.837,0.923,0.979,-0.762
0.985,0.854,0.958,0.955,-0.762
0.865,0.165,0.569,0.22,-0.765
0.668,0.325,0.141,0.119,0.765
0.054,0.585,0.786,0.116,0.765
0.464,0.923,0.036,0.125,-0.297
0.543,0.987,0.645,0.641,-0.745
0.195,0.308,0.882,0.947,0.762
0.545,0.35,0.367,0.611,0.757
0.435,0.135,0.053,0.173,0.765
0.364,0.484,0.814,0.671,0.749
0.873,0.844,0.756,0.237,-0.765
0.052,0.822,0.383,0.771,-0.642
0.184,0.719,0.1,0.976,0.754
0.403,0.737,0.024,0.265,0.751
0.641,0.927,0.972,0.354,-0.765
0.472,0.049,0.233,0.975,0.765
0.835,0.833,0.746,0.587,-0.765
0.706,0.039,0.213,0.512,0.762
0.215,0.273,0.505,0.871,0.762
0.182,0.063,0.382,0.517,0.759
0.189,0.19,0.108,0.764,0.765
0.133,0.23,0.193,0.803,0.765
0.504,0.761,0.21,0.681,0.759
0.728,0.17,0.381,0.487,0.748
0.354,0.23,0.615,0.299,0.765
0.305,0.338,0.774,0.043,0.765
0.223,0.083,0.943,0.351,0.765
0.865,0.602,0.679,0.15,-0.765
0.316,0.409,0.503,0.852,0.762
0.802,0.849,0.276,0.367,-0.447
0.639,0.309,0.558,0.658,0.744
0.118,0.237,0.347,0.949,0.757
0.621,0.579,0.023,0.239,0.759
0.755,0.565,0.899,0.592,-0.115
0.3,0.111,0.225,0.243,0.765
0.01,0.936,0.962,0.876,-0.762
0.154,0.444,0.889,0.058,0.765
0.095,0.348,0.154,0.302,0.765
0.401,0.221,0.148,0.433,0.765
0.201,0.828,0.074,0.288,-0.297
0.537,0.878,0.812,0.402,-0.765
0.85,0.574,0.572,0.805,-0.762
0.702,0.998,0.173,0.009,-0.297
0.02,0.829,0.166,0.367,-0.297
0.157,0.335,0.509,0.386,0.755
0.611,0.177,0.803,0.664,0.746
0.663,0.743,0.103,0.287,0.191
0.269,0.412,0.536,0.094,0.765
0.281,0.748,0.477,0.91,0.745
0.906,0.812,0.134,0.65,-0.297
0.487,0.874,0.236,0.405,-0.387
0.302,0.808,0.619,0.156,-0.765
0.299,0.747,0.654,0.514,0.42
0.651,0.385,0.679,0.279,0.765
0.083,0.099,0.036,0.595,0.765
0.869,0.611,0.002,0.386,-0.297
0.891,0.192,0.189,0.671,-0.297
0.028,0.902,0.723,0.23,-0.765
0.144,0.291,0.317,0.905,0.753
0.092,0.433,0.789,0.863,0.762
0.38,0.974,0.746,0.847,-0.762
0.811,0.799,0.631,0.491,-0.765
0.601,0.814,0.63,0.865,-0.761
0.032,0.214,0.564,0.385,0.765
0.259,0.857,0.164,0.443,-0.297
0.499,0.239,0.697,0.326,0.765
0.397,0.853,0.131,0.35,-0.297
0.247,0.37,0.519,0.978,0.762
0.33,0.751,0.719,0.939,0.742
0.22,0.711,0.166,0.182,0.759
0.595,0.68,0.955,0.156,0.21
0.371,0.019,0.452,0.079,0.76
0.704,0.464,0.341,0.849,0.747
0.547,0.976,0.15,0.315,-0.297
0.756,0.742,0.719,0.3,-0.176
0.768,0.79,0.092,0.16,-0.25
0.107,0.15,0.048,0.393,0.765
0.721,0.288,0.698,0.368,0.612
0.279,0.782,0.039,0.734,0.395
0.006,0.831,0.997,0.669,-0.748
0.482,0.745,0.497,0.446,0.381
0.738,0.738,0.362,0.574,0.131
0.271,0.821,0.474,0.414,-0.746
0.747,0.469,0.698,0.007,0.276
0.247,0.549,0.171,0.862,0.765
0.949,0.006,0.775,0.58,-0.765
0.186,0.815,0.188,0.972,-0.297
0.395,0.949,0.273,0.304,-0.442
0.63,0.788,0.574,0.354,-0.663
1.0,0.64,0.665,0.112,-0.765
0.812,0.517,0.09,0.917,-0.297
0.817,0.303,0.631,0.212,-0.765
0.254,0.885,0.459,0.762,-0.762
0.199,0.491,0.842,0.928,0.762
0.826,0.032,0.122,0.764,-0.297
0.315,0.264,0.613,0.782,0.761
0.163,0.886,0.079,0.673,-0.297
0.622,0.632,0.371,0.46,0.758
0.381,0.182,0.485,0.136,0.742
0.632,0.833,0.849,0.397,-0.765
0.858,0.139,0.786,0.347,-0.765
0.394,0.435,0.589,0.273,0.765
0.764,0.442,0.945,0.04,0.32
0.42,0.168,0.866,0.969,0.762
0.588,0.022,0.509,0.798,0.762
0.192,0.189,0.361,0.272,0.758
0.273,0.929,0.948,0.736,-0.762
0.961,0.708,0.536,0.418,-0.765
0.519,0.853,0.297,0.899,-0.478
0.499,0.751,0.297,0.268,0.75
0.12,0.331,0.598,0.359,0.765
0.827,0.627,0.197,0.021,-0.297
0.591,0.362,0.738,0.113,0.765
0.96,0.45,0.983,0.443,-0.765
0.268,0.783,0.699,0.354,0.007
0.801,0.943,0.25,0.744,-0.408
0.603,0.196,0.602,0.89,0.761
0.853,0.377,0.418,0.467,-0.762
0.315,0.099,0.724,0.769,0.762
0.147,0.985,0.137,0.467,-0.297
0.522,0.345,0.121,0.645,0.765
0.361,0.507,0.731,0.873,0.762
0.764,0.099,0.314,0.518,0.749
0.575,0.814,0.719,0.112,-0.765
0.055,0.796,0.995,0.175,-0.682
0.668,0.097,0.019,0.08,0.765
0.69,0.062,0.643,0.409,0.765
0.833,0.43,0.675,0.903,-0.762
0.8,0.788,0.462,0.823,-0.762
0.02,0.885,0.399,0.735,-0.693
0.696,0.37,0.864,0.252,0.659
0.069,0.262,0.942,0.156,0.765
0.909,0.364,0.904,0.61,-0.761
0.62,0.935,0.616,0.52,-0.765
0.383,0.158,0.614,0.805,0.761
0.955,0.552,0.15,0.665,-0.297
0.704,0.382,0.868,0.947,0.755
0.861,0.859,0.292,0.114,-0.471
0.832,0.964,0.652,0.166,-0.765
0.892,0.396,0.391,0.118,-0.668
0.238,0.151,0.884,0.251,0.765
0.696,0.672,0.392,0.099,0.758
0.714,0.783,0.011,0.57,-0.058
0.481,0.48,0.478,0.386,0.525
0.771,0.627,0.719,0.326,-0.372
0.339,0.585,0.872,0.323,0.765
0.94,0.339,0.305,0.752,-0.49
0.925,0.682,0.198,0.635,-0.297
0.212,0.508,0.42,0.858,0.764
0.488,0.478,0.354,0.03,0.746
0.574,0.826,0.396,0.896,-0.684
0.764,0.916,0.849,0.017,-0.765
0.268,0.833,0.516,0.331,-0.758
0.983,0.433,0.228,0.59,-0.372
0.291,0.364,0.138,0.3,0.765
0.328,0.313,0.645,0.07,0.765
0.203,0.511,0.41,0.944,0.764
0.087,0.903,0.364,0.11,-0.594
0.638,0.589,0.62,0.234,0.211
0.447,0.744,0.486,0.87,0.745
0.89,0.614,0.061,0.407,-0.297
0.681,0.82,0.255,0.486,-0.416
0.815,0.815,0.214,0.794,-0.34
0.209,0.859,0.188,0.739,-0.297
0.225,0.509,0.44,0.998,0.763
0.224,0.207,0.826,0.213,0.765
0.597,0.77,0.646,0.852,-0.266
0.961,0.667,0.681,0.057,-0.765
0.54,0.818,0.337,0.389,-0.536
0.272,0.547,0.096,0.452,0.765
0.617,0.194,0.009,0.744,0.765
0.605,0.206,0.225,0.619,0.765
0.873,0.077,0.471,0.976,-0.762
0.057,0.879,0.224,0.735,-0.364
0.284,0.881,0.337,0.244,-0.541
0.028,0.97,0.606,0.304,-0.765
0.593,0.448,0.118,0.965,0.757
0.098,0.401,0.062,0.293,0.765
0.68,0.841,0.705,0.196,-0.765
0.643,0.498,0.292,0.767,0.747
0.153,0.69,0.805,0.046,0.765
0.084,0.951,0.851,0.914,-0.762
0.932,0.942,0.688,0.59,-0.765
0.066,0.812,0.029,0.765,-0.297
0.654,0.263,0.726,0.97,0.762
0.81,0.877,0.975,0.122,-0.765
0.34,0.086,0.694,0.865,0.762
0.753,0.765,0.795,0.882,-0.129
0.982,0.627,0.515,0.985,-0.762
0.391,0.102,0.973,0.714,0.761
0.544,0.835,0.956,0.746,-0.762
0.516,0.264,0.906,0.788,0.762
0.898,0.665,0.046,0.677,-0.297
0.246,0.706,0.432,0.135,0.762
0.521,0.747,0.65,0.949,0.683
0.512,0.983,0.192,0.871,-0.297
0.956,0.703,0.714,0.835,-0.762
0.97,0.138,0.116,0.683,-0.297
0.282,0.175,0.504,0.237,0.751
0.335,0.411,0.869,0.502,0.765
0.877,0.045,0.238,0.797,-0.39
0.807,0.175,0.042,0.633,-0.297
0.6,0.241,0.469,0.331,0.75
0.602,0.399,0.59,0.385,0.765
0.533,0.117,0.745,0.395,0.765
0.729,0.89,0.03,0.28,-0.297
0.567,0.69,0.672,0.384,0.212
0.263,0.898,0.943,0.924,-0.762
0.916,0.038,0.846,0.858,-0.762
0.06,0.016,0.814,0.974,0.762
0.455,0.882,0.745,0.617,-0.758
0.844,0.205,0.924,0.59,-0.765
0.126,0.73,0.59,0.06,0.544
0.238,0.834,0.246,0.324,-0.402
0.798,0.89,0.342,0.632,-0.526
0.121,0.12,0.452,0.446,0.76
0.667,0.483,0.646,0.442,0.372
0.424,0.634,0.706,0.961,0.757
0.559,0.28,0.562,0.218,0.765
0.844,0.664,0.9,0.299,-0.765
0.219,0.112,0.381,0.841,0.761
0.783,0.882,0.281,0.399,-0.454
0.846,0.203,0.138,0.101,-0.297
0.195,0.586,0.114,0.755,0.765
0.856,0.806,0.754,0.543,-0.765
0.029,0.215,0.039,0.758,0.765
0.586,0.335,0.997,0.422,0.765
0.774,0.368,0.296,0.265,0.75
0.474,0.558,0.964,0.145,0.552
0.276,0.829,0.215,0.1,-0.343
0.801,0.55,0.657,0.056,-0.765
0.375,0.495,0.696,0.206,0.765
0.853,0.876,0.79,0.395,-0.765
0.116,0.25,0.664,0.082,0.765
0.869,0.383,0.73,0.121,-0.765
0.864,0.625,0.6,0.668,-0.748
0.399,0.977,0.184,0.515,-0.297
0.706,0.254,0.038,0.57,0.762
0.409,0.102,0.374,0.479,0.758
0.441,0.124,0.959,0.057,0.765
0.125,0.899,0.999,0.658,-0.744
0.729,0.762,0.835,0.293,-0.185
0.541,0.062,0.942,0.38,0.765
0.177,0.087,0.858,0.283,0.765
0.706,0.077,0.253,0.318,0.762
0.611,0.199,0.499,0.377,0.749
0.411,0.755,0.844,0.109,0.47
0.96,0.606,0.488,0.821,-0.762
0.128,0.166,0.135,0.349,0.765
0.792,0.328,0.153,0.545,0.065
0.502,0.29,0.819,0.538,0.765
0.116,0.461,0.356,0.675,0.757
0.398,0.845,0.189,0.19,-0.297
0.097,0.785,0.684,0.405,-0.145
0.619,0.069,0.947,0.484,0.765
0.63,0.286,0.47,0.37,0.749
0.516,0.835,0.925,0.515,-0.765
0.636,0.331,0.295,0.6,0.749
0.743,0.425,0.266,0.683,0.742
0.199,0.01,0.873,0.049,0.765
0.536,0.277,0.137,0.752,0.765
0.974,0.948,0.18,0.1,-0.297
0.982,0.088,0.558,0.795,-0.762
0.393,0.256,0.339,0.14,0.756
0.653,0.521,0.797,0.43,0.267
0.1,0.038,0.287,0.203,0.749
0.943,0.057,0.335,0.532,-0.487
0.422,0.441,0.995,0.369,0.765
0.647,0.579,0.358,0.249,0.758
0.858,0.307,0.731,0.584,-0.765
0.819,0.211,0.143,0.396,-0.297
0.542,0.877,0.751,0.951,-0.762
0.904,0.236,0.018,0.589,-0.297
0.489,0.667,0.382,0.827,0.748
0.606,0.113,0.306,0.678,0.752
0.586,0.364,0.128,0.261,0.765
0.892,0.223,0.424,0.422,-0.764
0.604,0.153,0.546,0.568,0.765
0.798,0.426,0.79,0.726,-0.612
0.002,0.954,0.779,0.764,-0.762
0.075,0.89,0.371,0.036,-0.611
0.878,0.931,0.772,0.577,-0.765
0.333,0.194,0.273,0.749,0.754
0.796,0.633,0.61,0.065,-0.765
0.968,0.553,0.87,0.921,-0.762
0.392,0.38,0.145,0.281,0.765
0.096,0.409,0.485,0.981,0.762
0.35,0.216,0.354,0.161,0.758
0.838,0.521,0.023,0.311,-0.297
0.655,0.563,0.406,0.446,0.763
0.407,0.373,0.919,0.586,0.765
0.676,0.592,0.404,0.675,0.763
0.364,0.148,0.873,0.031,0.765
0.754,0.221,0.882,0.88,0.75
0.27,0.727,0.029,0.399,0.749
0.935,0.369,0.064,0.318,-0.297
0.714,0.392,0.699,0.895,0.754
0.831,0.716,0.122,0.918,-0.297
0.088,0.478,0.156,0.551,0.765
0.576,0.156,0.268,0.322,0.756
0.12,0.071,0.556,0.565,0.765
0.089,0.819,0.688,0.226,-0.765
0.503,0.676,0.506,0.918,0.753
0.492,0.529,0.059,0.799,0.741
0.902,0.548,0.513,0.54,-0.765
0.154,0.679,0.564,0.499,0.765
0.854,0.807,0.125,0.32,-0.297
0.016,0.39,0.079,0.741,0.765
0.906,0.206,0.427,0.748,-0.764
0.822,0.635,0.7,0.667,-0.747
0.633,0.73,0.966,0.335,-0.007
0.786,0.99,0.095,0.966,-0.297
0.363,0.712,0.757,0.161,0.654
0.221,0.351,0.186,0.727,0.765
0.25,0.576,0.528,0.754,0.762
0.396,0.819,0.253,0.514,-0.412
0.681,0.953,0.77,0.732,-0.762
0.607,0.49,0.771,0.309,0.476
0.264,0.938,0.75,0.526,-0.765
0.83,0.141,0.208,0.215,-0.323
0.486,0.565,0.568,0.3,0.507
0.72,0.542,0.444,0.906,0.643
0.01,0.827,0.179,0.942,-0.297
0.495,0.0,0.44,0.561,0.762
0.809,0.979,0.068,0.57,-0.297
0.743,0.442,0.904,0.206,0.415
0.975,0.474,0.998,0.752,-0.762
0.366,0.237,0.983,0.905,0.762
0.902,0.98,0.588,0.412,-0.765
0.163,0.888,0.287,0.329,-0.463
0.41,0.744,0.17,0.862,0.746
0.304,0.006,0.29,0.379,0.749
0.6,0.206,0.452,0.753,0.762
0.448,0.992,0.926,0.343,-0.765
0.207,0.585,0.425,0.47,0.764
0.3,0.749,0.879,0.357,0.407
0.8,0.379,0.284,0.964,-0.459
0.241,0.392,0.622,0.486,0.765
0.334,0.185,0.633,0.951,0.761
0.983,0.604,0.678,0.271,-0.765
0.854,0.909,0.131,0.875,-0.297
0.579,0.915,0.112,0.79,-0.297
0.799,0.685,0.12,0.987,-0.297
0.397,0.775,0.346,0.775,0.752
0.836,0.771,0.366,0.388,-0.593
0.122,0.057,0.371,0.845,0.759
0.454,0.071,0.07,0.31,0.765
0.891,0.822,0.718,0.498,-0.765
0.717,0.7,0.154,0.781,0.423
0.739,0.514,0.587,0.815,0.761
0.258,0.038,0.69,0.017,0.765
0.407,0.074,0.589,0.422,0.765
0.219,0.682,0.109,0.187,0.765
0.437,0.371,0.549,0.992,0.762
0.434,0.648,0.639,0.399,0.582
0.954,0.558,0.677,0.856,-0.762
0.86,0.03,0.341,0.814,-0.548
0.612,0.843,0.618,0.635,-0.748
0.171,0.436,0.797,0.019,0.765
0.892,0.042,0.668,0.494,-0.765
0.146,0.663,0.183,0.389,0.765
0.637,0.87,0.181,0.878,-0.297
0.546,0.542,0.129,0.817,0.753
0.56,0.268,0.938,0.613,0.76
0.587,0.377,0.391,0.945,0.762
0.341,0.599,0.137,0.973,0.765
0.192,0.135,0.293,0.071,0.75
0.828,0.227,0.115,0.177,-0.297
0.722,0.313,0.28,0.691,0.751
0.319,0.003,0.696,0.178,0.765
0.97,0.62,0.602,0.403,-0.765
0.514,0.006,0.237,0.592,0.765
0.904,0.183,0.768,0.687,-0.756
0.675,0.004,0.513,0.263,0.756
0.926,0.838,0.666,0.583,-0.765
0.776,0.925,0.963,0.339,-0.765
0.458,0.088,0.316,0.717,0.753
0.729,0.156,0.23,0.091,0.747
0.644,0.247,0.395,0.975,0.762
0.744,0.369,0.321,0.641,0.744
0.473,0.429,0.414,0.931,0.763
0.621,0.695,0.91,0.866,0.759
0.087,0.912,0.868,0.388,-0.765
0.658,0.435,0.328,0.032,0.747
0.141,0.233,0.856,0.905,0.762
0.079,0.546,0.573,0.305,0.765
0.919,0.699,0.549,0.746,-0.762
0.788,0.457,0.05,0.09,0.217
0.248,0.785,0.55,0.85,0.179
0.908,0.333,0.005,0.765,-0.297
0.638,0.645,0.24,0.896,0.762
0.143,0.567,0.375,0.567,0.757
0.721,0.187,0.092,0.836,0.753
0.786,0.258,0.162,0.333,0.177
0.055,0.789,0.819,0.568,-0.283
0.225,0.703,0.87,0.354,0.743
0.92,0.256,0.249,0.535,-0.406
0.681,0.982,0.944,0.149,-0.765
0.318,0.057,0.808,0.52,0.765
0.036,0.531,0.859,0.908,0.762
0.399,0.428,0.239,0.408,0.765
0.311,0.724,0.737,0.5,0.587
0.847,0.167,0.325,0.648,-0.506
0.584,0.09,0.766,0.67,0.748
0.696,0.617,0.707,0.136,0.214
0.278,0.348,0.725,0.063,0.765
0.97,0.466,0.936,0.941,-0.762
0.029,0.003,0.898,0.112,0.765
0.618,0.558,0.232,0.587,0.758
0.177,0.511,0.535,0.732,0.762
0.9,0.606,0.887,0.381,-0.765
0.25,0.067,0.774,0.196,0.765
0.715,0.49,0.015,0.432,0.755
0.395,0.92,0.419,0.743,-0.764
0.777,0.107,0.067,0.173,0.548
0.458,0.794,0.951,0.746,-0.28
0.086,0.524,0.23,0.848,0.765
0.416,0.027,0.067,0.963,0.765
0.099,0.067,0.866,0.798,0.762
0.623,0.709,0.275,0.525,0.553
0.389,0.541,0.657,0.652,0.741
0.831,0.796,0.283,0.691,-0.457
0.759,0.639,0.101,0.652,0.059
0.333,0.585,0.022,0.589,0.765
0.405,0.515,0.633,0.812,0.761
0.966,0.434,0.452,0.995,-0.762
0.883,0.118,0.102,0.471,-0.297
0.088,0.845,0.47,0.091,-0.749
0.847,0.181,0.188,0.476,-0.297
0.329,0.664,0.18,0.361,0.765
0.058,0.598,0.573,0.866,0.762
0.211,0.491,0.526,0.717,0.761
0.589,0.097,0.973,0.886,0.762
0.437,0.627,0.829,0.476,0.627
0.483,0.231,0.163,0.235,0.765
0.551,0.048,0.933,0.13,0.765
0.069,0.005,0.5,0.16,0.748
0.37,0.055,0.009,0.953,0.765
0.305,0.958,0.545,0.302,-0.765
0.379,0.175,0.151,0.655,0.765
0.223,0.742,0.661,0.865,0.74
0.807,0.008,0.261,0.96,-0.425
0.812,0.511,0.403,0.831,-0.71
0.645,0.084,0.757,0.189,0.765
0.617,0.389,0.281,0.015,0.751
0.689,0.371,0.001,0.164,0.758
0.076,0.047,0.69,0.472,0.765
0.184,0.67,0.168,0.264,0.765
0.195,0.258,0.004,0.274,0.765
0.168,0.235,0.814,0.673,0.75
0.716,0.25,0.837,0.404,0.649
0.543,0.781,0.673,0.426,-0.412
0.243,0.978,0.722,0.159,-0.765
0.307,0.267,0.472,0.557,0.741
0.278,0.189,0.971,0.544,0.765
0.273,0.4,0.87,0.317,0.765
0.521,0.884,0.918,0.886,-0.762
0.648,0.061,0.525,0.422,0.765
0.608,0.996,0.004,0.765,-0.297
0.05,0.539,0.52,0.657,0.743
0.575,0.395,0.918,0.007,0.765
0.541,0.952,0.904,0.925,-0.762
0.006,0.426,0.649,0.821,0.761
0.341,0.802,0.936,0.156,-0.765
0.704,0.284,0.503,0.023,0.717
0.359,0.291,0.763,0.154,0.765
0.257,0.098,0.849,0.535,0.765
0.393,0.159,0.314,0.322,0.753
0.265,0.308,0.665,0.096,0.765
0.296,0.106,0.314,0.768,0.753
0.852,0.559,0.243,0.742,-0.398
0.863,0.399,0.229,0.704,-0.374
0.884,0.407,0.354,0.048,-0.573
0.181,0.746,0.487,0.417,0.447
0.735,0.793,0.008,0.386,-0.253
0.292,0.124,0.035,0.395,0.765
0.46,0.785,0.007,0.309,0.351
0.498,0.586,0.402,0.635,0.739
0.853,0.726,0.444,0.35,-0.762
0.287,0.563,0.827,0.164,0.765
0.487,0.088,0.788,0.495,0.765
0.752,0.989,0.321,0.216,-0.515
0.346,0.156,0.327,0.054,0.754
0.861,0.59,0.089,0.317,-0.297
0.555,0.102,0.765,0.551,0.765
0.397,0.18,0.856,0.546,0.765
0.567,0.082,0.237,0.269,0.765
0.973,0.639,0.213,0.008,-0.337
0.544,0.369,0.093,0.693,0.765
0.444,0.734,0.744,0.896,0.744
0.538,0.101,0.71,0.298,0.765
0.592,0.912,0.771,0.977,-0.762
0.379,0.784,0.034,0.787,0.763
0.894,0.441,0.362,0.661,-0.573
0.228,0.641,0.096,0.057,0.765
0.218,0.764,0.283,0.669,0.75
0.504,0.573,0.637,0.243,0.44
0.045,0.392,0.324,0.682,0.753
0.365,0.576,0.877,0.943,0.762
0.412,0.625,0.871,0.36,0.74
0.261,0.706,0.934,0.899,0.762
0.07,0.163,0.246,0.672,0.765
0.38,0.476,0.519,0.564,0.765
0.873,0.33,0.221,0.443,-0.357
0.6,0.77,0.489,0.054,-0.086
0.963,0.086,0.435,0.82,-0.763
0.336,0.948,0.299,0.183,-0.481
0.791,0.954,0.592,0.804,-0.761
0.704,0.277,0.026,0.381,0.763
0.9,0.167,0.101,0.144,-0.297
0.911,0.36,0.686,0.843,-0.762
0.394,0.874,0.291,0.949,-0.469
0.784,0.609,0.977,0.608,-0.489
0.769,0.176,0.516,0.889,0.762
0.161,0.17,0.842,0.219,0.765
0.084,0.351,0.911,0.307,0.765
0.534,0.174,0.661,0.093,0.765
0.248,0.48,0.256,0.516,0.761
0.6,0.071,0.122,0.893,0.765
0.099,0.044,0.135,0.83,0.765
0.226,0.058,0.258,0.723,0.76
0.631,0.397,0.722,0.917,0.762
0.406,0.957,0.497,0.653,-0.742
0.898,0.312,0.913,0.197,-0.765
0.74,0.658,0.541,0.703,0.212
0.476,0.803,0.814,0.065,-0.765
0.226,0.611,0.81,0.778,0.762
0.892,0.179,0.214,0.775,-0.34
0.942,0.043,0.46,0.411,-0.754
0.682,0.26,0.203,0.188,0.765
0.195,0.448,0.204,0.376,0.765
0.897,0.568,0.207,0.068,-0.32
0.788,0.725,0.254,0.486,-0.29
0.743,0.597,0.103,0.413,0.191
0.924,0.034,0.851,0.656,-0.743
0.044,0.305,0.565,0.168,0.765
0.07,0.617,0.8,0.994,0.762
0.656,0.279,0.627,0.114,0.765
0.054,0.733,0.796,0.591,0.52
0.296,0.98,0.14,0.5,-0.297
0.016,0.753,0.207,0.425,0.749
0.714,0.864,0.339,0.89,-0.545
0.062,0.337,0.913,0.237,0.765
0.726,0.395,0.226,0.634,0.753
0.747,0.653,0.335,0.901,0.021
0.689,0.398,0.833,0.641,0.586
0.201,0.011,0.837,0.846,0.762
0.58,0.992,0.632,0.228,-0.765
0.509,0.984,0.604,0.782,-0.761
0.427,0.716,0.214,0.481,0.739
0.879,0.054,0.697,0.874,-0.762
0.026,0.364,0.155,0.564,0.765
0.732,0.395,0.592,0.414,0.614
0.157,0.591,0.736,0.396,0.765
0.046,0.588,0.836,0.061,0.765
0.417,0.914,0.237,0.986,-0.389
0.89,0.788,0.629,0.949,-0.761
0.162,0.391,0.347,0.909,0.757
0.751,0.533,0.01,0.84,0.315
0.914,0.649,0.194,0.992,-0.297
0.582,0.426,0.552,0.159,0.758
0.371,0.654,0.854,0.787,0.762
0.812,0.889,0.391,0.952,-0.668
0.591,0.956,0.442,0.204,-0.762
0.748,0.107,0.902,0.434,0.393
0.141,0.597,0.191,0.126,0.765
0.542,0.812,0.4,0.799,-0.699
0.012,0.424,0.508,0.007,0.753
0.25,0.135,0.388,0.224,0.761
0.869,0.318,0.056,0.515,-0.297
0.588,0.243,0.442,0.342,0.762
0.572,0.477,0.583,0.997,0.746
0.426,0.073,0.627,0.333,0.765
0.516,0.752,0.301,0.138,0.663
0.981,0.511,0.878,0.885,-0.762
0.755,0.161,0.229,0.101,0.75
0.084,0.421,0.879,0.785,0.762
0.409,0.289,0.502,0.911,0.762
0.726,0.873,0.674,0.878,-0.762
0.747,0.573,0.926,0.636,0.093
0.825,0.994,0.266,0.645,-0.432
0.711,0.74,0.779,0.739,0.389
0.064,0.492,0.525,0.149,0.762
0.426,0.163,0.325,0.461,0.753
0.641,0.608,0.71,0.184,0.21
0.365,0.05,0.996,0.555,0.765
0.065,0.372,0.511,0.894,0.762
0.661,0.53,0.862,0.96,0.758
0.047,0.828,0.874,0.19,-0.765
0.788,0.023,0.872,0.852,-0.097
0.033,0.869,0.842,0.975,-0.762
0.291,0.525,0.972,0.282,0.765
0.189,0.223,0.677,0.883,0.762
0.273,0.87,0.821,0.843,-0.762
0.414,0.509,0.958,0.621,0.756
0.519,0.542,0.821,0.536,0.383
0.726,0.025,0.738,0.426,0.575
0.217,0.061,0.363,0.288,0.759
0.201,0.023,0.764,0.668,0.748
0.31,0.133,0.2,0.87,0.765
0.377,0.188,0.657,0.487,0.765
0.955,0.223,0.765,0.112,-0.765
0.63,0.626,0.067,0.049,0.76
0.828,0.228,0.642,0.974,-0.761
0.423,0.532,0.994,0.972,0.762
0.558,0.496,0.356,0.127,0.739
0.061,0.722,0.047,0.989,0.752
0.256,0.486,0.299,0.571,0.752
0.985,0.811,0.861,0.182,-0.765
0.945,0.636,0.696,0.939,-0.762
0.259,0.611,0.698,0.585,0.765
0.684,0.824,0.08,0.712,-0.297
0.976,0.985,0.399,0.532,-0.643
0.028,0.889,0.388,0.587,-0.614
0.184,0.958,0.72,0.456,-0.765
0.223,0.481,0.979,0.549,0.765
0.693,0.418,0.841,0.895,0.745
0.105,0.464,0.167,0.327,0.765
0.7,0.183,0.084,0.558,0.765
0.04,0.86,0.694,0.892,-0.762
0.68,0.145,0.275,0.781,0.753
